exp_id,track,timestamp_utc,model_repo_id,model_revision_sha,torch_version,torch_cuda_version,diffusers_version,gpu_name,dtype,scheduler,prompt_id,prompt_sha256,negative_prompt_sha256,seed,width,height,steps,guidance_scale,memory_tier,safety_checker_present,safety_checker_enabled,vae_variant,load_seconds,generate_seconds,peak_vram_allocated_mb,peak_vram_reserved_mb,peak_device_used_mb,peak_process_rss_mb,output_sha256,status,error_type,error_message,output_path
EXP-005,direct-1x1,2026-07-30T01:21:37+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P4-deck,bfd72ef751983f8a267f571a92badb946d8eb238b3cdc44f547d63b5a30bc19c,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,42,512,512,30,7.5,0,True,False,pipeline default,7.232,4.068,2675.38,3246.0,4359.5,1842.72,508187805990d2bea40bf46555743729be8a5a33e2d957a89ec4fe87a72f50fd,ok,,,outputs/EXP-005/EXP-005__sd15__direct-1x1__P4-deck__512x512__seed42__st30__tier0.png
EXP-005,direct-1x1,2026-07-30T01:21:41+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P4-deck,bfd72ef751983f8a267f571a92badb946d8eb238b3cdc44f547d63b5a30bc19c,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,1337,512,512,30,7.5,0,True,False,pipeline default,7.232,4.078,2675.38,3246.0,4359.5,1843.6,8c12c88af5d948a08b52795b0ba0426732e19143e0ecfaf95d08438dd3ecda81,ok,,,outputs/EXP-005/EXP-005__sd15__direct-1x1__P4-deck__512x512__seed1337__st30__tier0.png
EXP-005,direct-1x1,2026-07-30T01:21:45+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P4-deck,bfd72ef751983f8a267f571a92badb946d8eb238b3cdc44f547d63b5a30bc19c,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,2026,512,512,30,7.5,0,True,False,pipeline default,7.232,4.117,2675.38,3246.0,4359.5,1843.75,f9a56e953419233e13c794317f23c7b6b0eb16684d3727c3797f9e6e20b8125f,ok,,,outputs/EXP-005/EXP-005__sd15__direct-1x1__P4-deck__512x512__seed2026__st30__tier0.png
EXP-005,direct-1x1,2026-07-30T01:21:50+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P1-poster,9c67354e368ec9b9f6e28c25781f08ad6c816ef91f74c3b969ea4591b4c24722,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,42,512,512,30,7.5,0,True,False,pipeline default,7.232,4.105,2675.38,3246.0,4359.5,1846.84,cee27050f45b5ab6bbbdad05dc9f2146b202377e64261840d553b1c61fe9c5af,ok,,,outputs/EXP-005/EXP-005__sd15__direct-1x1__P1-poster__512x512__seed42__st30__tier0.png
EXP-005,direct-1x1,2026-07-30T01:21:54+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P1-poster,9c67354e368ec9b9f6e28c25781f08ad6c816ef91f74c3b969ea4591b4c24722,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,1337,512,512,30,7.5,0,True,False,pipeline default,7.232,4.141,2675.38,3246.0,4359.5,1844.0,3700558a0617e3ae6235dda874ffe35bd4bcd283453906119e5b8e142a611dda,ok,,,outputs/EXP-005/EXP-005__sd15__direct-1x1__P1-poster__512x512__seed1337__st30__tier0.png
EXP-005,direct-1x1,2026-07-30T01:21:58+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P1-poster,9c67354e368ec9b9f6e28c25781f08ad6c816ef91f74c3b969ea4591b4c24722,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,2026,512,512,30,7.5,0,True,False,pipeline default,7.232,4.143,2675.38,3246.0,4359.5,1844.06,bdd8c131c8b17a9d414139aae0e5853a8edd372ca82b13f6a38fe699ec1bce7e,ok,,,outputs/EXP-005/EXP-005__sd15__direct-1x1__P1-poster__512x512__seed2026__st30__tier0.png
EXP-005,direct-1x2,2026-07-30T01:22:48+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P4-deck,bfd72ef751983f8a267f571a92badb946d8eb238b3cdc44f547d63b5a30bc19c,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,42,512,1024,30,7.5,0,True,False,pipeline default,8.851,8.909,3283.69,4356.0,5469.5,1879.67,59cb0d26f0b886661b19792816a6fe28cf2e5267a96e3a164a1798f2d8299aa7,ok,,,outputs/EXP-005/EXP-005__sd15__direct-1x2__P4-deck__512x1024__seed42__st30__tier0.png
EXP-005,direct-1x2,2026-07-30T01:22:57+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P4-deck,bfd72ef751983f8a267f571a92badb946d8eb238b3cdc44f547d63b5a30bc19c,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,1337,512,1024,30,7.5,0,True,False,pipeline default,8.851,8.917,3283.69,4356.0,5469.5,1880.05,666dffad27b72629be0ccdfcdbb68247dc9643bdca24f513998d52e3bd13d09e,ok,,,outputs/EXP-005/EXP-005__sd15__direct-1x2__P4-deck__512x1024__seed1337__st30__tier0.png
EXP-005,direct-1x2,2026-07-30T01:23:06+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P4-deck,bfd72ef751983f8a267f571a92badb946d8eb238b3cdc44f547d63b5a30bc19c,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,2026,512,1024,30,7.5,0,True,False,pipeline default,8.851,8.962,3283.69,4356.0,5469.5,1880.05,3c147e67d35ab72c69d30c343fe41db776dff10ff61c56b2cf5914622ccd2326,ok,,,outputs/EXP-005/EXP-005__sd15__direct-1x2__P4-deck__512x1024__seed2026__st30__tier0.png
EXP-005,direct-1x2,2026-07-30T01:23:15+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P1-poster,9c67354e368ec9b9f6e28c25781f08ad6c816ef91f74c3b969ea4591b4c24722,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,42,512,1024,30,7.5,0,True,False,pipeline default,8.851,8.961,3283.69,4356.0,5469.5,1879.99,c328380c2ef9dc9badef7ce72f7d5ccc0f41d30e1193f9e84d20e79d22eef537,ok,,,outputs/EXP-005/EXP-005__sd15__direct-1x2__P1-poster__512x1024__seed42__st30__tier0.png
